acronimo;termo;;
Vou a pé;A pé ou transporte particular;;
Ônibus fornecido pela prefeitura da cidade;Transporte coletivo oferecido pela prefeitura;;
Veículo particular;A pé ou transporte particular;;
Linha(s) metropolitana(s) de ônibus;Transporte coletivo (público e/ou privado);;
Não utilizo;A pé ou transporte particular;;
Não uso meio de transporte;A pé ou transporte particular;;
Caminhada ;A pé ou transporte particular;;
Andando;A pé ou transporte particular;;
A pé ;A pé ou transporte particular;;
a pé;A pé ou transporte particular;;
Veículo próprio e ônibus fornecido pela prefeitura;Transporte coletivo (público e/ou privado);;
caminhando;A pé ou transporte particular;;
Caminhada;A pé ou transporte particular;;
A pé.;A pé ou transporte particular;;
Nenhum (moro na rua da faculdade);A pé ou transporte particular;;
Pedestre;A pé ou transporte particular;;
Andando ;A pé ou transporte particular;;
Pé;A pé ou transporte particular;;
Caminho até a universidade;A pé ou transporte particular;;
A pés;A pé ou transporte particular;;
Van fretada;Transporte coletivo (público e/ou privado);;
Meus pés ;A pé ou transporte particular;;
Moro em Garanhuns quando em aula;A pé ou transporte particular;;
Uber;A pé ou transporte particular;;
pés;A pé ou transporte particular;;
Vou a pé ;A pé ou transporte particular;;
Van fornecida pela prefeitura, com mensalidade de 85,00 (oitenta e cinco);Transporte coletivo (público e/ou privado);;
Veículo particular/Ônibus da prefeitura;Transporte coletivo (público e/ou privado);;
De pés.;A pé ou transporte particular;;
à pé;A pé ou transporte particular;;
Serviço de Moto táxi;A pé ou transporte particular;;
Apé;A pé ou transporte particular;;
À pé ;A pé ou transporte particular;;
Locomoção a pé;A pé ou transporte particular;;
Vou andando ;A pé ou transporte particular;;
Vans;Transporte coletivo (público e/ou privado);;
Parte do trajeto em carro particular e o restante do trajeto em um ônibus fornecido por uma cidade vizinha;Transporte coletivo oferecido pela prefeitura;;
Van com mensalidade ;Transporte coletivo (público e/ou privado);;
 A pé.;A pé ou transporte particular;;
Moro perto da faculdade;A pé ou transporte particular;;
Moto;A pé ou transporte particular;;
Moro em frente a universidade;A pé ou transporte particular;;
carona ou mototáxi;A pé ou transporte particular;;
Vã particular paga por um grupo de alunos da universidade;Transporte coletivo (público e/ou privado);;
Carona com colegas ;A pé ou transporte particular;;
Van parcialmente custeada pela prefeitura da cidade;Transporte coletivo (público e/ou privado);;
Carona de colegas ;A pé ou transporte particular;;
Caronas;A pé ou transporte particular;;
Ônibus pago pelos universitários;Transporte coletivo (público e/ou privado);;
Carona/a pé;A pé ou transporte particular;;
Van paga com bolsa da universidade.;Transporte coletivo (público e/ou privado);;
Moro perto da universidade, vou a pé.;A pé ou transporte particular;;
Moto Taxi ;A pé ou transporte particular;;
Vou a pés;A pé ou transporte particular;;
Lotação;Transporte coletivo (público e/ou privado);;
Transporte alugado (Van);Transporte coletivo (público e/ou privado);;
A pé, moto táxi;A pé ou transporte particular;;
Vou andando;A pé ou transporte particular;;
A pés ;A pé ou transporte particular;;
Carona;A pé ou transporte particular;;
Moto táxi e a pé;A pé ou transporte particular;;
 Vou a pé;A pé ou transporte particular;;
Moto táxi;A pé ou transporte particular;;
Transporte alternativo;Transporte coletivo (público e/ou privado);;
Carona.;A pé ou transporte particular;;
Carona com meu amigo;A pé ou transporte particular;;
Moto táxi e caronas com colegas que possuem carro ;A pé ou transporte particular;;
Carona com outros colegas ou mototáxi;A pé ou transporte particular;;
Ônibus fornecido pelos próprios estudantes;Transporte coletivo (público e/ou privado);;
Van e moto;Transporte coletivo (público e/ou privado);;
Vou de pé;A pé ou transporte particular;;
Carona com amigo;A pé ou transporte particular;;
Moto táxi, a pé, carona;A pé ou transporte particular;;
A pé, carona...;A pé ou transporte particular;;
Transporte coletivo (van);Transporte coletivo (público e/ou privado);;
Não utilizo meio de transporte;A pé ou transporte particular;;
Moto taxi;A pé ou transporte particular;;
Pés ;A pé ou transporte particular;;
Carona, moto táxi ;A pé ou transporte particular;;
Vou a pé.;A pé ou transporte particular;;
Moto táxi ;A pé ou transporte particular;;
Van;Transporte coletivo (público e/ou privado);;
Condução escolar ;Transporte coletivo (público e/ou privado);;
Caminhando ;A pé ou transporte particular;;
Ape;A pé ou transporte particular;;
Moto táxi / Carro;A pé ou transporte particular;;
Carona com outros colegas;A pé ou transporte particular;;
Carona em veículo particular.;A pé ou transporte particular;;
nenhum;A pé ou transporte particular;;
Quando estou em Garanhuns, vou a pé. Quando estou na minha cidade de origem vou de lotação;Transporte coletivo (público e/ou privado);;
Não necessito de transporte.;A pé ou transporte particular;;
Mototax;A pé ou transporte particular;;
N preciso de  transporte, durante o ano letivo moro perto da universidade;A pé ou transporte particular;;
Em Garanhuns, moro próximo a universidade, então vou caminhando;A pé ou transporte particular;;
Dividindo gasolina com o pessoal que tem carro.;A pé ou transporte particular;;
Carona com veículo dos colegas ;A pé ou transporte particular;;
Carons;A pé ou transporte particular;;
Carona com amiga em seu veículo particular ;A pé ou transporte particular;;
Carro de lotação;Transporte coletivo (público e/ou privado);;
bicicleta (11,4 km) e ônibus fornecido pela prefeitura da cidade vizinha;Transporte coletivo oferecido pela prefeitura;;
Vou pela linha de ônibus São Cristóvão da cidade de Garanhuns;Transporte coletivo (público e/ou privado);;
Carro proprio;A pé ou transporte particular;;
Transporte oferecido por terceiros, sendo uma parte chateado pela prefeitura e outra pelos alunos ;Transporte coletivo (público e/ou privado);;
Vou a pé, moro perto;A pé ou transporte particular;;
Moro próximo a faculdade ;A pé ou transporte particular;;
vou andando.;A pé ou transporte particular;;
Carona com outros alunos;A pé ou transporte particular;;
